DATE,PROJECT_ID,TITLE,BOROUGH,LEVEL_OF_REVIEW,AGENCY,CERTIFICATE_NUMBER,PUBLIC_PRIVATE,ACTION,PROJECT_TYPE
12/17/2018,20900,"Reconstruction of an ADA entrance, Bryant Park, West 42nd Street between 5th Avenue and 6th Avenue, Manhattan",Manhattan,Preliminary,DPR,26878,Public,Calendared for Consent,Landscape architecture
12/17/2018,20901,"Construction of an ADA ramp and stairs, 37 West 93rd Street, Manhattan",Manhattan,Preliminary,DOT,26876,Private,Calendared for Consent,Building systems & Modifications
12/17/2018,20902,"Installation of rooftop mechanical equipment, Queens Civil Court, 89-17 Sutphin Boulevard, Jamaica, Queens",Queens,Preliminary and Final,DDC,26871,Public,Calendared for Consent,Building systems & Modifications
12/17/2018,20904,"Installation of a roof, Queens Sanitation Enforcement Building, 51-15 Flushing Avenue, Maspeth, Queens",Queens,Preliminary,DSNY,26886,Public,Calendared for Consent,Building systems & Modifications
12/17/2018,20907,"Reconstruction of Luis Lopez Playground and adjacent site work, Targee Street, Palma Drive, and Oder Avenue, Staten Island",Staten Island,Final,DPR,26883,Public,Calendared for Consent,Landscape architecture
12/17/2018,20908,"Rehabilitation of the Orchard Beach Nature Center and adjacent site work, Orchard Beach, Pelham Bay Park, Bronx",Bronx,Preliminary,DPR,26881,Public,Calendared for Consent,Building systems & Modifications
12/17/2018,20909,"Reconstruction of an entryway, Pelham Fritz Recreation Center, Marcus Garvey Park, 120th Street, Madison Avenue, 124th Street and Mount Morris Park West, Manhattan",Manhattan,Preliminary and Final,DPR,26882,Public,Calendared for Consent,Architecture
12/17/2018,20910,"Reconstruction of two entrances to the Riegelmann Boardwalk and adjacent site work (Ocean Dreams), West 35th Street and West 36th Street, Coney Island Beach, Brooklyn",Brooklyn,Final,DPR/DOT,26885,Public and Private,Calendared for Consent,Landscape architecture
01/22/2019,20703,"Construction of Parachute Way Plaza, including the installation of an artwork by Xenobia Bailey and the relocation of the Jackie Robinson and Pee Wee Reese Memorial (2005) by William Behrends, between Surf Avenue and the boardwalk, as part of the Coney Island Infrastructure Project, Brooklyn",Brooklyn,Final,EDC,26922,Public,Calendared for Committee and Consent,Landscape architecture
01/22/2019,20715,"Design of a tenant signage system, Admiral's Row Plaza, Navy Street, Flushing Avenue, Fourth Street, and Gate Street, Brooklyn Navy Yard Industrial Park, Brooklyn",Brooklyn,Preliminary and Final,BNYDC,26891,Private,Calendared for Consent,Signage
01/22/2019,20867,"Rehabilitation of the pier over John Finley Walk, Brearley School, 610 East 83rd Street, Manhattan",Manhattan,Preliminary,DCAS,26893,Public,Calendared for Consent,Landscape architecture
01/22/2019,20894,"Reconstruction of a plaza and adjacent site work, Queens Borough Hall, 120-55 Queens Boulevard, Kew Gardens, Queens",Queens,Final,DDC,26894,Public,Calendared for Consent,Landscape architecture
01/22/2019,20903,"Construction of an ADA ramp, East 82nd Street and John Finley Walk, Manhattan",Manhattan,Preliminary,DPR,26916,Public,Calendared for Consent,Building systems & Modifications
01/22/2019,20906,"Reconstruction of the playground, White Park, Lyman Avenue, Summer Street, High Street, and Bay Street, Staten Island",Staten Island,Preliminary,DPR,26905,Public,Calendared for Consent,Landscape architecture
01/22/2019,20928,"Reconstruction of Ravenswood Playground, 35th Avenue, 21st Street, and 34th Avenue, Astoria, Queens",Queens,Final,DPR,26912,Public,Calendared for Consent,Landscape architecture
01/22/2019,20930,"Installation of a prototypical newsstand, 303 East 83rd Street, northeast corner of Second Avenue and East 83rd Street, Manhattan",Manhattan,Preliminary and Final,DCA,26892,Private,Calendared for Consent,Newsstand
01/22/2019,20931,"Installation of rooftop mechanical equipment, Museum of Modern Art PS1, 22-25 Jackson Avenue (P.S. 1 Contemporary Art Center, 46-01 21st Street), Long Island City, Queens",Queens,Preliminary and Final,DDC,26895,Public and Private,Calendared for Consent,Building systems & Modifications
01/22/2019,20932,"Installation of security infrastructure, including bollards and planters, Rockefeller Center, Fifth Avenue between West 48th Street and West 51st Street, Manhattan",Manhattan,Final,DDC,26896,Public,Calendared for Consent,Street furniture
01/22/2019,20933,"Installation of a fuel tank access hatch and ventilation equipment, Engine Company 209/Ladder Company 102, 850 Bedford Avenue, Brooklyn",Brooklyn,Preliminary and Final,DDC,26898,Public,Calendared for Consent,Building systems & Modifications
01/22/2019,20934,"Installation of sewer access hatches, 114th Police Precinct, 34-16 Astoria Boulevard, Long Island City, Queens",Queens,Preliminary and Final,DDC,26899,Public,Calendared for Consent,Building systems & Modifications
01/22/2019,20935,"Construction of anaerobic digester tanks, a pumping station, and adjacent site work, Hunts Point Water Pollution Control Plant, Viele Avenue, Manida Street, Ryawa Avenue, and Barretto Street, Bronx",Bronx,Preliminary,DEP,26900,Public,Calendared for Consent,Architecture
01/22/2019,20936,"Rehabilitation of a comfort station, Prall Playground, Elizabeth Street, Forest Avenue, Clove Lake Place, and Broadway, Staten Island",Staten Island,Preliminary,DPR,26907,Public,Calendared for Consent,Architecture
01/22/2019,20937,"Rehabilitation of a comfort station, Grove Hill Playground, adjacent to P.S. 157, East 158th Street between Eagle Avenue and Cauldwell Avenue, Bronx",Bronx,Final,DPR,26914,Public,Calendared for Consent,Architecture
01/22/2019,20938,"Reconstruction of a pedestrian path and ADA improvements, Carl Schurz Park, East End Avenue between East 84th Street and East 86th Street, Manhattan",Manhattan,Preliminary and Final,DPR,26917,Public,Calendared for Consent,Landscape architecture
01/22/2019,20941,"Conservation and Relocation of the Highbridge Doughboy (1923) from the triangle park between Boscobel Place, Ogden, and Boscobel Avenues to Macombs Dam Park, Jerome Avenue and 161st Street, Bronx",Bronx,Final,DPR,26908,Public,Calendared for Consent,Artwork
01/22/2019,20942,"Construction of Site B as part of reconstruction of streetscapes and installation of amusement rides (Coney East), West 16th Street, West 15th Street, Stillwell Avenue, West 12th Street, Surf Avenue, and the Riegelmann Boardwalk, Brooklyn",Brooklyn,Preliminary,EDC,26920,Public and Private,Calendared for Consent,Architecture
01/22/2019,20943,"Installation of Prism Arbor by Xenobia Bailey, Parachute Way Plaza between Surf Avenue and the Riegelmann Boardwalk, Brooklyn",Brooklyn,Preliminary,DCLA%,26923,Public,Calendared for Committee and Consent,Artwork
01/22/2019,20945,"Installation of streetscape improvements, Beach 108th Street between Beach Channel Drive and Shore Front Parkway, Rockaway Park, Queens",Queens,Preliminary,DDC,26897,Public,Calendared for Consent,Landscape architecture
01/22/2019,20946,"Construction of athletic courts and an adult fitness area, Hallets Cove Playground, Vernon Boulevard between Welling Court and 30th Road, Astoria, Queens",Queens,Preliminary,DPR,26903,Public,Calendared for Consent,Landscape architecture
01/22/2019,20947,"Construction of a kayak launch, installation of a storage container, and reconstruction of the shoreline, Hallets Cove Playground, Vernon Boulevard between Welling Court and 30th Road, Astoria, Queens",Queens,Final,DPR,26904,Public,Calendared for Consent,Landscape architecture
01/22/2019,20948,"Conservation of the Dover Patrol Monument, John Paul Jones Park, Fourth Avenue and 101st Street, Brooklyn",Brooklyn,Final,DPR,26909,Public,Calendared for Consent,Artwork
01/22/2019,20949,"Construction of a dog run, Devoe Park, Sedgwick Avenue and West Fordham Road, Bronx",Bronx,Final,DPR,26910,Public,Calendared for Consent,Landscape architecture
01/22/2019,20950,"Reconstruction of track 1, soccer fields 3, 4 & 5, and ballfields 1-4 as Phase III of the reconstruction of the Red Hook Recreation Area, Columbia Street and Bay Street, Brooklyn",Brooklyn,Final,DPR,26913,Public,Calendared for Consent,Landscape architecture
01/22/2019,20951,"Reconstruction of baseball fields 2 and 3 and adjacent site work, the Long Meadow and the Upper Pool, Prospect Park West and Prospect Park Southwest, Prospect Park, Brooklyn",Brooklyn,Preliminary,DPR,26918,Public,Calendared for Consent,Landscape architecture
01/22/2019,20954,"Construction of a section of Hudson Park and Boulevard, Phase IIA, 10th Avenue and 11th Avenue from 36th Street to 37th Street, Manhattan",Manhattan,Final,EDC,26924,Public,Calendared for Consent,Landscape architecture
01/22/2019,20955,"Construction of an ADA ramp and stairs, 37 West 93rd Street, Manhattan",Manhattan,Final,DOT,26902,Private,Calendared for Consent,Building systems & Modifications
01/22/2019,20956,"Reconstruction of the World's Fair Marina, Flushing Bay Promenade, Flushing Meadows Corona Park, Corona, Queens",Queens,Preliminary,DPR,26906,Public and Private,Calendared for Consent,Architecture
01/22/2019,20957,"Reconstruction of column foundations (Summer Stage) Rumsey Playfield, 72nd Street and East Drive, Central Park, Manhattan",Manhattan,Final,DPR,26915,Public,Calendared for Consent,Landscape architecture
01/22/2019,20958,"Installation of signage, West Thames Pedestrian Bridge over Route 9A, West Street between West Thames Street and Joseph P. Ward Street, Manhattan",Manhattan,Preliminary and Final,EDC,26919,Public,Calendared for Consent,Signage
01/22/2019,20964,"Reconstruction of Harlem Lane Park and Frederick Johnson Park, Adam Clayton Powell Jr. Boulevard, West 150th Street, and Harlem River Drive, Manhattan",Manhattan,Final,DPR,26911,Public,Calendared for Consent,Landscape architecture
01/22/2019,20965,"Construction of Site D as part of reconstruction of streetscapes and installation of amusement rides (Coney East), West 16th Street, West 15th Street, Stillwell Avenue, West 12th Street, Surf Avenue, and the Riegelmann Boardwalk, Brooklyn",Brooklyn,Final,EDC,26921,Public and Private,Calendared for Consent,Architecture
01/22/2019,20966,"Installation of commemorative plaques and a flagpole, 239th Street median at Hillside Avenue, Bellerose, Queens",Queens,Preliminary,DOT,26901,Public,Calendared for Consent,Landscape architecture
02/19/2019,20743,"Installation of rooftop mechanical equipment, louvers, and doors, Bellevue Men's Shelter, 400 East 30th Street, Manhattan",Manhattan,Preliminary,DDC/DHS,26928,Public,Calendared for Consent,Building systems & Modifications
02/19/2019,20833,"Reconstruction of a clubhouse (Gaelic Park Sports Centre), 205 West 240th Street, Bronx",Bronx,Preliminary and Final,NYCT,26959,Public and Private,Calendared for Consent,Architecture
02/19/2019,20836,"Construction of bridges over West 203rd Street connecting two Con Edison buildings, 3775 Ninth Avenue and 3795 Ninth Avenue, Manhattan",Manhattan,Preliminary,DOT,26940,Public,Calendared for Consent,Bridge
02/19/2019,20911,"Construction of a mixed-use development, Beach 21st Street, Mott Avenue, and Beach 22nd Street, Far Rockaway, Queens",Queens,Preliminary,EDC/DOT/HPD,26955,Public and Private,Calendared for Consent,Architecture
02/19/2019,20929,"Renovation of Buildings A and C (Made in NY-North), Bush Terminal Industrial Campus, 13 42nd Street and One 43rd Street, Brooklyn",Brooklyn,Preliminary,EDC,26954,Public and Private,Calendared for Consent,Architecture
02/19/2019,20940,"Installation of Dr. Sun Yat-sen (2011) by Lu Chun-Hsiung, Columbus Park, Worth Street, Baxter Street, Mulberry Street, and Bayard Street, Manhattan",Manhattan,Conceptual,DPR,26943,Public,Calendared for Consent,Artwork
02/19/2019,20962,"Installation of two HVAC units and a louver, New York City Center for Aerospace and Applied Mathematics, 220 Henry Street, Manhattan",Manhattan,Preliminary and Final,DOE,26939,Public,Calendared for Consent,Building systems & Modifications
02/19/2019,20971,"Conversion of Building 20 into a light-industrial building, Morris Avenue, Third Street, Dock Avenue, and Fourth Street, Brooklyn Navy Yard Industrial Park, Brooklyn",Brooklyn,Preliminary,BNYDC,26925,Private,Calendared for Consent,Architecture
02/19/2019,20972,"Construction of three overlook areas and restoration of a wetland, Hylan Boulevard Bluebelt between Seaver Avenue and Stobe Avenue, New Creek watershed, Staten Island",Staten Island,Final,DDC/DEP/DOT,26927,Public,Calendared for Consent,Landscape architecture
02/19/2019,20973,"Rehabilitation of the Bushwick Health Center, 335 Central Avenue, Brooklyn",Brooklyn,Final,DDC/DOHMH,26929,Public,Calendared for Consent,Architecture
02/19/2019,20974,"Construction of a portion of the Brooklyn Waterfront Greenway (Hamilton Gowanus Connector), Hamilton Avenue and Smith Street to 3rd Avenue and 29th Street, Brooklyn",Brooklyn,Preliminary and Final,DDC/DOT,26930,Public,Calendared for Consent,Landscape architecture
02/19/2019,20975,"Construction of a prototypical planted median, Atlantic Avenue from Logan Street to Rockaway Boulevard, Brooklyn and Queens",Brooklyn/Queens,Preliminary and Final,DDC/DOT,26931,Public,Calendared for Consent,Landscape architecture
02/19/2019,20976,"Construction of streetscape improvements, Coney Island Hospital, Ocean Parkway between Avenue Z and Belt Parkway, Brooklyn",Brooklyn,Preliminary and Final,DDC/DOT,26932,Public,Calendared for Consent,Landscape architecture
02/19/2019,20978,"Installation of rooftop mechanical equipment, Flushing Community Library, 41-17 Main Street, Flushing, Queens",Queens,Preliminary and Final,DDC/QL,26926,Public,Calendared for Consent,Building systems & Modifications
02/19/2019,20979,"Installation of exhaust equipment, North Infirmary Center, 15-00 Hazen Street, Rikers Island, Bronx",Bronx,Preliminary and Final,DOC,26934,Public,Calendared for Consent,Building systems & Modifications
02/19/2019,20980,"Installation of two prefabricated office trailers, Rodman’s Neck, Pelham Bay Park, Bronx",Bronx,Preliminary and Final,DOC,26938,Public,Calendared for Consent,Architecture
02/19/2019,20981,"Installation of benches, Manhattan West, 401 Ninth Avenue, 33rd Street and Ninth Avenue, Manhattan",Manhattan,Preliminary and Final,DOT,26941,Public,Calendared for Consent,Street furniture
02/19/2019,20982,"Installation of World's Fair light poles, Phase IB, Jamaica Avenue from 98th Street to 108th Street, Jamaica, Queens",Queens,Preliminary and Final,DOT,26942,Public,Calendared for Consent,Distinctive lighting
02/19/2019,20983,"Reconstruction of athletic courts and installation of an artificial turf field, Space Time Playground, adjacent to I.S. 131 Albert Einstein Jr. High School, Lafayette Avenue between Underhill Avenue and Bolton Avenue, Bronx",Bronx,Preliminary,DPR,26944,Public,Calendared for Consent,Landscape architecture
02/19/2019,20984,"Repainting of pool buildings, Commodore Barry Park, Flushing Avenue, North Elliot Place, Park Avenue, and Navy Street, Brooklyn",Brooklyn,Preliminary and Final,DPR,26945,Public,Calendared for Consent,Building systems & Modifications
02/19/2019,20985,"Construction of a prototypical comfort station, Frederick Johnson Park, Adam Clayton Powell Jr. Boulevard, West 150th Street, the Harlem River Drive, and West 151st Street, Manhattan",Manhattan,Final,DPR,26946,Public,Calendared for Consent,Architecture
02/19/2019,20986,"Construction of a prototypical comfort station, Old Fort Four Park, Sedgwick Avenue, Goulden Avenue and Reservoir Avenue, Bronx",Bronx,Final,DPR,26947,Public,Calendared for Consent,Architecture
02/19/2019,20987,"Construction of a prototypical comfort station, Police Officer Edward Byrne Park, 135th Avenue, 134th Street, North Conduit Avenue, and 130th Place, South Ozone Park, Queens",Queens,Final,DPR,26948,Public,Calendared for Consent,Architecture
02/19/2019,20988,"Construction of an adult fitness area, Flushing Meadows Corona Park, Corona Avenue and 111th Street, Corona, Queens",Queens,Final,DPR,26949,Public,Calendared for Consent,Landscape architecture
02/19/2019,20989,"Construction of a dog run, St. James Park, Jerome Avenue, East 191st Street, Creston Avenue, and East 193rd Street, Bronx",Bronx,Final,DPR,26950,Public,Calendared for Consent,Landscape architecture
02/19/2019,20990,"Reconstruction of Bay Terrace Playground, adjacent to P.S. 169, 23rd Avenue between Bell Boulevard and 212th Street, Bayside, Queens",Queens,Final,DPR,26951,Public,Calendared for Consent,Landscape architecture
02/19/2019,20991,"Restoration of landscape, including tree plantings, Shore Belt Parkway over Mill Basin, Brooklyn",Brooklyn,Preliminary,DPR/DOT,26952,Public,Calendared for Consent,Landscape architecture
02/19/2019,20992,"Installation of rooftop guardrails, Bronx Districts 7 and 8 Garage, 423 West 215th Street, Manhattan",Manhattan,Preliminary and Final,DSNY,26953,Public,Calendared for Consent,Building systems & Modifications
02/19/2019,20993,"Construction of Site A as part of reconstruction of streetscapes and installation of amusement rides (Coney East), West 16th Street, West 15th Street, Stillwell Avenue, West 12th Street, Surf Avenue, and the Riegelmann Boardwalk, Brooklyn",Brooklyn,Final,EDC/DPR,26956,Public and Private,Calendared for Consent,Architecture
02/19/2019,20994,"Construction of Site C as part of reconstruction of streetscapes and installation of amusement rides (Coney East), West 16th Street, West 15th Street, Stillwell Avenue, West 12th Street, Surf Avenue, and the Riegelmann Boardwalk, Brooklyn",Brooklyn,Final,EDC/DPR,26957,Public and Private,Calendared for Consent,Architecture
02/19/2019,20995,"Construction of Site E as part of reconstruction of streetscapes and installation of amusement rides (Coney East), West 16th Street, West 15th Street, Stillwell Avenue, West 12th Street, Surf Avenue, and the Riegelmann Boardwalk, Brooklyn",Brooklyn,Final,EDC/DPR,26958,Public and Private,Calendared for Consent,Architecture
02/19/2019,21005,"Installation of prefabricated K-9 trailers and locker room trailers, 17-21 Hazen Street, Rikers Island, Bronx",Bronx,Preliminary and Final,DOC,26935,Public,Calendared for Consent,Architecture
02/19/2019,21006,"Installation of prefabricated locker room trailers, 16-24 Hazen Street, Rikers Island, Bronx",Bronx,Preliminary and Final,DOC,26936,Public,Calendared for Consent,Architecture
02/19/2019,21007,"Installation of prefabricated office trailers, George Motchan Detention Center Sites A, B, and C, 10 West 4th Street, 680 Mandincini Road, and 2 West 5th Street, Rikers Island, Bronx",Bronx,Preliminary and Final,DOC,26937,Public,Calendared for Consent,Architecture
03/18/2019,13408,"Installation of un(Common) Threads by Borinquen Gallo, 40th Police Precinct, East 149th Street and St. Ann's Avenue, Bronx",Bronx,Conceptual,DCLA%/DDC/NYPD,26967,Public,Calendared for Consent,Artwork
03/18/2019,17773,"Installation of the Elizabeth Cady Stanton and Susan B. Anthony Monument by Meredith Bergmann, Literary Walk, The Mall, Central Park, Manhattan",Manhattan,Conceptual,DPR,27000,Public,Calendared for Public Hearing,Artwork
03/18/2019,19541,"Rehabilitation of the Eltingville Pumping Station (formerly Brookfield Landfill), Arthur Kill Road and Brookfield Avenue, Staten Island",Staten Island,Preliminary,DEP/DPR,26974,Public,Calendared for Consent,Architecture
03/18/2019,20636,"Installation of Urban Poet by Alexandre Arrechea, Atlantic Avenue median between Conduit Boulevard and Fountain Avenue, Brooklyn",Brooklyn,Conceptual,DCLA%/DDC/DOT,26966,Public,Calendared for Consent,Artwork
03/18/2019,20729,"Rehabilitation of a comfort station, Cooper Park, Maspeth Avenue, Morgan Avenue, Sharon Street and Olive Street, Brooklyn",Brooklyn,Preliminary and Final,DPR,26991,Public,Calendared for Consent,Architecture
03/18/2019,20774,"Rehabilitation of a comfort station, Lower Highland East Playground, Highland Park, Jamaica Avenue between Elton Street and Linwood Street, Brooklyn",Brooklyn,Preliminary and Final,DPR,26992,Public,Calendared for Consent,Architecture
03/18/2019,20968,"Installation of an artwork by Stacy Levy, East Midtown Greenway, East River between East 53rd Street and East 61st Street, Manhattan",Manhattan,Conceptual,EDC/DPR/DOT,26998,Public,Calendared for Consent,Artwork
03/18/2019,20977,"Installation of rooftop mechanical equipment, Queens District 7 Garage, 120-15 31st Avenue, Flushing, Queens",Queens,Preliminary and Final,DDC/DSNY,26933,Public,Calendared for Consent,Building systems & Modifications
03/18/2019,20998,"Construction of a parking lot adjacent to Building 280, Flushing Avenue, North Oxford Street, Ordinance Avenue, and Fifth Street, Brooklyn Navy Yard Industrial Park, Brooklyn",Brooklyn,Preliminary and Final,BNYDC,26960,Private,Calendared for Consent,Landscape architecture
03/18/2019,20999,"Reconstruction of a parking lot adjacent to Building 5, Market Street, Eighth Avenue, Paulding Street, and Sixth Street, Brooklyn Navy Yard Industrial Park, Brooklyn",Brooklyn,Preliminary and Final,BNYDC,26961,Public and Private,Calendared for Consent,Landscape architecture
03/18/2019,21001,"Installation of interpretive signage for an educational compost facility, Queens Botanical Garden, 43-50 Main Street, Flushing, Queens",Queens,Preliminary and Final,DCLA/DPR/DSNY,26968,Public,Calendared for Consent,Signage
03/18/2019,21002,"Construction of Myrtle Wyckoff Plaza, Wyckoff Avenue between Gates Avenue and Myrtle Avenue, Brooklyn and Queens",Brooklyn/Queens,Preliminary and Final,DDC/DOT,26969,Public,Calendared for Consent,Landscape architecture
03/18/2019,21004,"Installation of the Rebecca Salome Foster Memorial by Karl Bitter, 60 Centre Street, Manhattan",Manhattan,Preliminary,DCAS,26965,Public,Calendared for Consent,Artwork
03/18/2019,21008,"Reconstruction of a portion of Anne Loftus Playground, Fort Tryon Park, Dyckman Street and Broadway, Manhattan",Manhattan,Preliminary,DPR,26988,Public,Calendared for Consent,Landscape architecture
03/18/2019,21015,"Installation of rooftop guardrails, Eric M. Taylor Center, 10-10 Hazen Street, Rikers Island, Bronx",Bronx,Preliminary and Final,DOC,26975,Public,Calendared for Consent,Building systems & Modifications
03/18/2019,21016,"Installation of rooftop guardrails, George Motchan Detention Center, 15-15 Hazen Street, Rikers Island, Bronx",Bronx,Preliminary and Final,DOC,26976,Public,Calendared for Consent,Building systems & Modifications
03/18/2019,21017,"Installation of rooftop guardrails, North Infirmary Command Annex, 15-00 Hazen Street, Rikers Island, Bronx",Bronx,Preliminary and Final,DOC,26977,Public,Calendared for Consent,Building systems & Modifications
03/18/2019,21018,"Installation of a prototypical neighborhood wayfinding (WalkNYC) sign, Riverside Park, Riverside Drive between West 94th Street and West 95th Street, Manhattan",Manhattan,Preliminary and Final,DOT,26982,Public,Calendared for Consent,Signage
03/18/2019,21019,"Installation of a prototypical neighborhood wayfinding (WalkNYC) sign, Riverside Park, West 97th Street, and Riverside Drive, Manhattan",Manhattan,Preliminary and Final,DOT,26983,Public,Calendared for Consent,Signage
03/18/2019,21020,"Installation of rooftop mechanical equipment and windows, Engine Company 82, 1215 Intervale Avenue, Bronx",Bronx,Preliminary and Final,FDNY,26999,Public,Calendared for Consent,Building systems & Modifications
03/18/2019,21021,"Reconstruction of a memorial, Olde Towne of Flushing Burial Ground (formerly Martins Field), 45th Avenue, 46th Avenue, 164th Street and 166th Street, Queens.",Queens,Final,DPR,26996,Public,Calendared for Consent,Landscape architecture
03/18/2019,21023,"Reconstruction of the landscape and adjacent site work, Tallman Island Water Pollution Control Plant, 127th Street and Powell's Cove Boulevard, College Point, Queens",Queens,Final,DEP,26973,Public,Calendared for Consent,Landscape architecture
03/18/2019,21024,"Installation of windows, a door, and mechanical equipment, Owen F. Dolen Golden Age Recreation Center, Owen F. Dolen Park, 2551 Westchester Avenue, Bronx",Bronx,Final,DPR,26995,Public,Calendared for Consent,Building systems & Modifications
03/18/2019,21025,"Reconstruction of a portion of Lincoln Terrace Park, East New York Avenue between Rochester Avenue and Buffalo Avenue, Brooklyn",Brooklyn,Preliminary,DPR,26989,Public,Calendared for Consent,Landscape architecture
03/18/2019,21026,"Installation of flood protection measures as part of the DEP Wastewater Resiliency Program, Bowery Bay Wastewater Treatment Plant, 43-01 Berrain Boulevard, Queens",Queens,Preliminary and Final,DEP,26971,Public,Calendared for Consent,Landscape architecture
03/18/2019,21027,"Installation of two prefabricated trailers and adjacent site work, Rodman’s Neck, Pelham Bay Park, Bronx",Bronx,Preliminary and Final,DOC,26978,Public,Calendared for Consent,Building systems & Modifications
03/18/2019,21028,"Installation of signage, Brooklyn Science and Engineering Academy, 5404 Tilden Avenue, Brooklyn",Brooklyn,Preliminary and Final,DOE,26980,Public,Calendared for Consent,Signage
03/18/2019,21029,"Installation of signage, P.S. 152, 725 East 23rd Street, Brooklyn",Brooklyn,Preliminary and Final,DOE,26981,Public,Calendared for Consent,Signage
03/18/2019,21030,"Installation of an ADA lift, 2416 Lorillard Place, Bronx",Bronx,Preliminary and Final,DOT,26984,Private,Calendared for Consent,Building systems & Modifications
03/18/2019,21031,"Reconstruction of Bridge Playground, Undercliff Avenue, Boscobel Place, and University Avenue, Bronx",Bronx,Final,DPR,26997,Public,Calendared for Consent,Landscape architecture
03/18/2019,21033,"Installation of a soccer sealcoat field, P.S. 142, Amalia Castro School and Manhattan Charter School, 100 Attorney Street, Manhattan",Manhattan,Preliminary and Final,DOE,26979,Public,Calendared for Consent,Landscape architecture
03/18/2019,21034,"Construction of streetscape improvements, Parsons Boulevard between Jamaica Avenue and Archer Avenue, Jamaica Queens",Queens,Preliminary and Final,DDC/DOT,26985,Public,Calendared for Consent,Landscape architecture
03/18/2019,21037,"Construction of the 116th Police Precinct, North Conduit Avenue and 244th Street, Rosedale, Queens",Queens,Final,DDC/NYPD,26970,Public,Calendared for Consent,Architecture
03/18/2019,21038,"Construction of an adult fitness area, St. John's Park, Troy Avenue, Prospect Place, Schenectady Avenue and Bergen Street, Brooklyn",Brooklyn,Final,DPR,26994,Public,Calendared for Consent,Landscape architecture
03/18/2019,21039,"Reconstruction of Lower Highland East Playground and a performance space, Highland Park, Jamaica Avenue between Elton Street and Linwood Street, Brooklyn",Brooklyn,Final,DPR,26993,Public,Calendared for Consent,Landscape architecture
03/18/2019,21042,"Construction of the northern portion of Success Garden, Livonia Avenue between Alabama Street and Williams Street, Brooklyn",Brooklyn,Preliminary,DPR,26986,Public,Calendared for Consent,Landscape architecture
03/18/2019,21043,"Reconstruction of a ballfield (Ballfield 3) and related site work, McCarren Park, Bedford Avenue, Lorimer Avenue, Driggs Avenue, and North 12th Street, Brooklyn",Brooklyn,Preliminary,DPR,26987,Public,Calendared for Consent,Landscape architecture
03/18/2019,21044,"Rehabilitation of a comfort station, Captain George H. Tilly Memorial Park Playground, 85th Avenue between 165th Street and Chapin Parkway, Jamaica, Queens",Queens,Preliminary,DPR,26990,Public,Calendared for Consent,Architecture
03/18/2019,21045,"Installation of a prototypical newsstand, 1396 Second Avenue, northeast corner of Second Avenue and East 72nd Street, Manhattan",Manhattan,Preliminary and Final,DCA/DOT,26962,Private,Calendared for Consent,Newsstand
03/18/2019,21046,"Installation of a prototypical newsstand, 3100 47th Avenue, southeast corner of 47th Avenue and 31st Street, Long Island City, Queens",Queens,Preliminary and Final,DCA/DOT,26963,Private,Calendared for Consent,Newsstand
03/18/2019,21047,"Installation of a prototypical newsstand, 660 Columbus Avenue, northwest corner of Columbus Avenue and West 92nd Street, Manhattan",Manhattan,Preliminary and Final,DCA/DOT,26964,Private,Calendared for Consent,Newsstand
03/18/2019,21048,"Reconstruction of sludge docks and installation of a prefabricated storage shed, Owls Head Wastewater Treatment Plant, 6700 Shore Road, Brooklyn",Brooklyn,Preliminary and Final,DEP,26972,Public,Calendared for Consent,Architecture
04/15/2019,20730,"Rehabilitation of a comfort station, Quisqueya Playground, Highbridge Park, Amsterdam Avenue and West 180th Street, Manhattan",Manhattan,Preliminary and Final,DPR,27031,Public,Calendared for Consent,Architecture
04/15/2019,20897,"Construction of Vanderbilt Plaza and installation of security bollards, One Vanderbilt, Vanderbilt Avenue, 42nd Street, Madison Avenue, and 43rd Street, Manhattan",Manhattan,Preliminary,DOT,27017,Public,Calendared for Consent,Landscape architecture
04/15/2019,20952,"Reconstruction of a portion of Bellevue South Park, Mount Carmel Place between East 26th Street and East 28th Street, Manhattan",Manhattan,Preliminary,DPR,27026,Public,Calendared for Consent,Landscape architecture
04/15/2019,21003,"Reconstruction of Lion's Pride Playground, Riverdale Avenue between Snediker Avenue and Van Sinderen Avenue, Brooklyn",Brooklyn,Preliminary,DPR,27027,Public,Calendared for Consent,Landscape architecture
04/15/2019,21050,"Installation of a prototypical newsstand, 4325 Hunter Street, northwest corner of 44th Drive and Jackson Avenue, Long Island City, Queens",Queens,Preliminary and Final,DCA,27003,Private,Calendared for Consent,Newsstand
04/15/2019,21056,"Construction of a dechlorination facility, Owl's Head Water Pollution Control Plant, 6700 Shore Road, Brooklyn",Brooklyn,Preliminary and Final,DEP,27011,Public,Calendared for Consent,Architecture
04/15/2019,21057,"Reconstruction of a portion of Naples Playground, adjacent to P.S. 9, Naples Street between Targee Street and Stanwich Street, Staten Island",Staten Island,Preliminary,DPR,27025,Public,Calendared for Consent,Landscape architecture
04/15/2019,21058,"Installation of a soccer sealcoat field, Equity Playground, adjacent to P.S. 60, 88th Avenue, 90th Street, and 89th Avenue, Woodhaven, Queens",Queens,Preliminary and Final,DPR,27033,Public,Calendared for Consent,Landscape architecture
